STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,DEU,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.374447,A,Biennial,Germany,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,SWE,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.239947,A,Biennial,Sweden,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,BEL,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,3.984249,A,Biennial,Belgium,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,AUT,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.181584,A,Biennial,Austria,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,JPN,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.24824,A,Biennial,Japan,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,NLD,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.207611,A,Biennial,Netherlands,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,SGP,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.063787,A,Biennial,Singapore,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,DNK,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,3.95873,A,Biennial,Denmark,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,GBR,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.032786,A,Biennial,United Kingdom,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,FIN,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,2018,_Z,NUMBER,2,WB_LPI,602,0,PU,4.003472,A,Biennial,Finland,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public
