Date,Country,Demand,year,month,day_of_week
2010-12-01,Australia,107,2010,12,2
2010-12-01,EIRE,243,2010,12,2
2010-12-01,France,449,2010,12,2
2010-12-01,Germany,157,2010,12,2
2010-12-01,Netherlands,97,2010,12,2
2010-12-01,Norway,1852,2010,12,2
2010-12-01,United Kingdom,24014,2010,12,2
2010-12-02,EIRE,6,2010,12,3
2010-12-02,Germany,148,2010,12,3
2010-12-02,United Kingdom,31175,2010,12,3
2010-12-03,Belgium,528,2010,12,4
2010-12-03,EIRE,2575,2010,12,4
2010-12-03,France,239,2010,12,4
2010-12-03,Germany,170,2010,12,4
2010-12-03,Italy,164,2010,12,4
2010-12-03,Poland,140,2010,12,4
2010-12-03,Portugal,65,2010,12,4
2010-12-03,Spain,400,2010,12,4
2010-12-03,Switzerland,110,2010,12,4
2010-12-03,United Kingdom,11808,2010,12,4
2010-12-05,France,611,2010,12,6
2010-12-05,Germany,1361,2010,12,6
2010-12-05,Japan,196,2010,12,6
2010-12-05,Lithuania,622,2010,12,6
2010-12-05,United Kingdom,13660,2010,12,6
2010-12-06,EIRE,614,2010,12,0
2010-12-06,Germany,89,2010,12,0
2010-12-06,Portugal,53,2010,12,0
2010-12-06,United Kingdom,21039,2010,12,0
2010-12-07,France,752,2010,12,1
2010-12-07,Germany,155,2010,12,1
2010-12-07,Iceland,319,2010,12,1
2010-12-07,United Kingdom,23994,2010,12,1
2010-12-08,Australia,214,2010,12,2
2010-12-08,France,121,2010,12,2
2010-12-08,Germany,139,2010,12,2
2010-12-08,Lithuania,30,2010,12,2
2010-12-08,Norway,1730,2010,12,2
2010-12-08,Portugal,424,2010,12,2
2010-12-08,United Kingdom,20459,2010,12,2
2010-12-09,Channel Islands,80,2010,12,3
2010-12-09,Denmark,454,2010,12,3
2010-12-09,EIRE,287,2010,12,3
2010-12-09,France,1017,2010,12,3
2010-12-09,Germany,396,2010,12,3
2010-12-09,Japan,1488,2010,12,3
2010-12-09,Portugal,118,2010,12,3
2010-12-09,Spain,67,2010,12,3
2010-12-09,United Kingdom,16023,2010,12,3
2010-12-10,EIRE,379,2010,12,4
2010-12-10,France,418,2010,12,4
2010-12-10,Germany,1096,2010,12,4
2010-12-10,Portugal,131,2010,12,4
2010-12-10,United Kingdom,19073,2010,12,4
2010-12-12,Japan,2409,2010,12,6
2010-12-12,United Kingdom,8194,2010,12,6
2010-12-13,Germany,2,2010,12,0
2010-12-13,Spain,300,2010,12,0
2010-12-13,United Kingdom,17425,2010,12,0
2010-12-14,Cyprus,917,2010,12,1
2010-12-14,Sweden,240,2010,12,1
2010-12-14,United Kingdom,19127,2010,12,1
2010-12-15,France,134,2010,12,2
2010-12-15,United Kingdom,18359,2010,12,2
2010-12-16,EIRE,358,2010,12,3
2010-12-16,Finland,1254,2010,12,3
2010-12-16,France,3,2010,12,3
2010-12-16,United Kingdom,28328,2010,12,3
2010-12-17,Australia,146,2010,12,4
2010-12-17,Austria,51,2010,12,4
2010-12-17,Belgium,285,2010,12,4
2010-12-17,EIRE,701,2010,12,4
2010-12-17,France,398,2010,12,4
2010-12-17,Germany,1658,2010,12,4
2010-12-17,Portugal,193,2010,12,4
2010-12-17,Spain,100,2010,12,4
2010-12-17,Sweden,3714,2010,12,4
2010-12-17,United Kingdom,9701,2010,12,4
2010-12-19,EIRE,155,2010,12,6
2010-12-19,Germany,337,2010,12,6
2010-12-19,United Kingdom,3307,2010,12,6
2010-12-20,Bahrain,54,2010,12,0
2010-12-20,France,733,2010,12,0
2010-12-20,Germany,234,2010,12,0
2010-12-20,Netherlands,46,2010,12,0
2010-12-20,Switzerland,604,2010,12,0
2010-12-20,United Kingdom,13269,2010,12,0
2010-12-21,Belgium,188,2010,12,1
2010-12-21,EIRE,344,2010,12,1
2010-12-21,France,26,2010,12,1
2010-12-21,Italy,131,2010,12,1
2010-12-21,Netherlands,6668,2010,12,1
2010-12-21,United Kingdom,8256,2010,12,1
2010-12-22,Belgium,754,2010,12,2
2010-12-22,France,88,2010,12,2
2010-12-22,United Kingdom,2238,2010,12,2
2010-12-23,EIRE,108,2010,12,3
2010-12-23,Germany,935,2010,12,3
2010-12-23,United Kingdom,4711,2010,12,3
2011-01-04,Sweden,293,2011,1,1
2011-01-04,United Kingdom,8346,2011,1,1
2011-01-05,France,735,2011,1,2
2011-01-05,United Kingdom,19036,2011,1,2
2011-01-06,Australia,4802,2011,1,3
2011-01-06,France,443,2011,1,3
2011-01-06,United Kingdom,17883,2011,1,3
2011-01-07,France,596,2011,1,4
2011-01-07,Germany,2658,2011,1,4
2011-01-07,Spain,630,2011,1,4
2011-01-07,United Kingdom,13276,2011,1,4
2011-01-09,EIRE,85,2011,1,6
2011-01-09,France,78,2011,1,6
2011-01-09,Portugal,641,2011,1,6
2011-01-09,United Kingdom,7398,2011,1,6
2011-01-10,Australia,96,2011,1,0
2011-01-10,France,635,2011,1,0
2011-01-10,Germany,635,2011,1,0
2011-01-10,Israel,100,2011,1,0
2011-01-10,Spain,643,2011,1,0
2011-01-10,United Kingdom,10759,2011,1,0
2011-01-11,Australia,238,2011,1,1
2011-01-11,France,988,2011,1,1
2011-01-11,Germany,87,2011,1,1
2011-01-11,Spain,1483,2011,1,1
2011-01-11,United Kingdom,25652,2011,1,1
2011-01-12,Belgium,590,2011,1,2
2011-01-12,Cyprus,144,2011,1,2
2011-01-12,France,682,2011,1,2
2011-01-12,Germany,97,2011,1,2
2011-01-12,United Kingdom,9109,2011,1,2
2011-01-13,Germany,100,2011,1,3
2011-01-13,Italy,748,2011,1,3
2011-01-13,United Kingdom,9326,2011,1,3
2011-01-14,Australia,60,2011,1,4
2011-01-14,EIRE,6198,2011,1,4
2011-01-14,France,1072,2011,1,4
2011-01-14,Germany,248,2011,1,4
2011-01-14,Netherlands,8210,2011,1,4
2011-01-14,United Kingdom,7361,2011,1,4
2011-01-16,United Kingdom,4204,2011,1,6
2011-01-17,Australia,204,2011,1,0
2011-01-17,France,268,2011,1,0
2011-01-17,Germany,583,2011,1,0
2011-01-17,Poland,288,2011,1,0
2011-01-17,United Kingdom,12054,2011,1,0
2011-01-18,EIRE,287,2011,1,1
2011-01-18,Germany,113,2011,1,1
2011-01-18,Portugal,1216,2011,1,1
2011-01-18,Spain,294,2011,1,1
2011-01-18,United Kingdom,81068,2011,1,1
2011-01-19,Australia,113,2011,1,2
2011-01-19,France,386,2011,1,2
2011-01-19,Germany,37,2011,1,2
2011-01-19,Netherlands,6072,2011,1,2
2011-01-19,Spain,48,2011,1,2
2011-01-19,Switzerland,2653,2011,1,2
2011-01-19,United Kingdom,8078,2011,1,2
2011-01-20,Australia,21,2011,1,3
2011-01-20,Belgium,94,2011,1,3
2011-01-20,EIRE,1332,2011,1,3
2011-01-20,France,708,2011,1,3
2011-01-20,Netherlands,288,2011,1,3
2011-01-20,United Kingdom,8046,2011,1,3
2011-01-21,Finland,164,2011,1,4
2011-01-21,Italy,145,2011,1,4
2011-01-21,Netherlands,5730,2011,1,4
2011-01-21,United Kingdom,9266,2011,1,4
2011-01-23,France,126,2011,1,6
2011-01-23,United Kingdom,5115,2011,1,6
2011-01-24,EIRE,47,2011,1,0
2011-01-24,France,84,2011,1,0
2011-01-24,Germany,1203,2011,1,0
2011-01-24,Greece,526,2011,1,0
2011-01-24,Hong Kong,1121,2011,1,0
2011-01-24,Spain,104,2011,1,0
2011-01-24,United Kingdom,8944,2011,1,0
2011-01-25,Belgium,108,2011,1,1
2011-01-25,Finland,601,2011,1,1
2011-01-25,France,2,2011,1,1
2011-01-25,Germany,1145,2011,1,1
2011-01-25,Singapore,1091,2011,1,1
2011-01-25,United Kingdom,12667,2011,1,1
2011-01-26,EIRE,690,2011,1,2
2011-01-26,Germany,692,2011,1,2
2011-01-26,Iceland,315,2011,1,2
2011-01-26,Italy,228,2011,1,2
2011-01-26,Portugal,237,2011,1,2
2011-01-26,United Kingdom,8806,2011,1,2
2011-01-27,Channel Islands,259,2011,1,3
